id,picking_id:id,name,product_qty,product_id:id,product_uom:id,location_id:id,location_dest_id:id
stock_move_so_colissimo_6A0,stock_picking_so_colissimo_6A0,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6A1,stock_picking_so_colissimo_6A1,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6A2,stock_picking_so_colissimo_6A2,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6A3,stock_picking_so_colissimo_6A3,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6A4,stock_picking_so_colissimo_6A4,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6A5,stock_picking_so_colissimo_6A5,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6A6,stock_picking_so_colissimo_6A6,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6A7,stock_picking_so_colissimo_6A7,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6A8,stock_picking_so_colissimo_6A8,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6A9,stock_picking_so_colissimo_6A9,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C0,stock_picking_so_colissimo_6C0,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C1,stock_picking_so_colissimo_6C1,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C2,stock_picking_so_colissimo_6C2,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C3,stock_picking_so_colissimo_6C3,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C4,stock_picking_so_colissimo_6C4,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C5,stock_picking_so_colissimo_6C5,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C6,stock_picking_so_colissimo_6C6,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C7,stock_picking_so_colissimo_6C7,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C8,stock_picking_so_colissimo_6C8,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6C9,stock_picking_so_colissimo_6C9,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H0,stock_picking_so_colissimo_6H0,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H1,stock_picking_so_colissimo_6H1,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H2,stock_picking_so_colissimo_6H2,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H3,stock_picking_so_colissimo_6H3,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H4,stock_picking_so_colissimo_6H4,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H5,stock_picking_so_colissimo_6H5,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H6,stock_picking_so_colissimo_6H6,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H7,stock_picking_so_colissimo_6H7,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H8,stock_picking_so_colissimo_6H8,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6H9,stock_picking_so_colissimo_6H9,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J0,stock_picking_so_colissimo_6J0,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J1,stock_picking_so_colissimo_6J1,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J2,stock_picking_so_colissimo_6J2,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J3,stock_picking_so_colissimo_6J3,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J4,stock_picking_so_colissimo_6J4,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J5,stock_picking_so_colissimo_6J5,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J6,stock_picking_so_colissimo_6J6,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J7,stock_picking_so_colissimo_6J7,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J8,stock_picking_so_colissimo_6J8,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6J9,stock_picking_so_colissimo_6J9,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K0,stock_picking_so_colissimo_6K0,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K1,stock_picking_so_colissimo_6K1,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K2,stock_picking_so_colissimo_6K2,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K3,stock_picking_so_colissimo_6K3,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K4,stock_picking_so_colissimo_6K4,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K5,stock_picking_so_colissimo_6K5,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K6,stock_picking_so_colissimo_6K6,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K7,stock_picking_so_colissimo_6K7,_,3,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K8,stock_picking_so_colissimo_6K8,_,4,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6K9,stock_picking_so_colissimo_6K9,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6MA0,stock_picking_so_colissimo_6MA0,_,1,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
stock_move_so_colissimo_6MA1,stock_picking_so_colissimo_6MA1,_,2,delivery_carrier_colipostefr.product_colissimo_small,product.product_uom_unit,stock.stock_location_stock,stock.stock_location_customers
